RadlexID	Common ID	Name
RID10003	4014657	oropharynx
RID10008	4014448	lingual tonsil
RID10010	4014667	palatine tonsil
RID10021	4013944	hypopharynx
RID10021	4013944	hypopharynx
RID10029	4014619	nose
RID10039	4014601	nasal septum
RID10049	4015333	superior nasal turbinate
RID10050	4014567	middle nasal turbinate
RID10051	4013975	inferior nasal turbinate
RID10053	4013759	ear
RID10054	4013805	external ear
RID10094	4013802	external auditory canal
RID1010	4015348	superior vena cava
RID10100	4015482	tympanic membrane
RID10109	4014562	middle ear cavity
RID1011	4013562	brachiocephalic vein
RID1011_RID5824	4015547	left brachiocephalic vein
RID1011_RID5825	4015548	right brachiocephalic vein
RID1014	4013534	axillary vein
RID10143	4014491	mastoid antrum
RID10148	4014722	petrosquamous suture
RID1015	4013559	brachial vein
RID10151	4015278	stapes
RID10153	4013926	head of stapes
RID10154	4013485	anterior limb of stapes
RID10155	4014766	posterior limb of stapes
RID10156	4013856	footplate of stapes
RID10157	4013958	incus
RID10159	4013549	body of incus
RID1016	4013541	basilic vein
RID10160	4014451	long process of incus
RID10161	4014432	lenticular process of incus
RID10162	4015251	short process of incus
RID10163	4014482	malleus
RID10165	4013916	handle of malleus
RID10166	4013922	head of malleus
RID10167	4014607	neck of malleus
RID10168	4014066	lateral process of malleus
RID10169	4013489	anterior process of malleus
RID1017	4013602	cephalic vein
RID10170	4013523	articulation of ossicles
RID1018	4013809	external jugular vein
RID10190	4014758	posterior fold of malleus
RID10191	4013476	anterior fold of malleus
RID10197	4013854	fold of incus
RID10199	4013999	inner ear
RID1020	4013481	anterior jugular vein
RID10202	4015530	vestibule of bony labyrinth
RID10214	4013491	anterior semicircular canal
RID10216	4014770	posterior semicircular canal
RID10218	4014073	lateral semicircular canal
RID10223	4013627	cochlea
RID1024	4014010	internal jugular vein 
RID103	4014456	lower esophageal sphincter
RID1037	4015347	superior thyroid vein
RID1055	4014844	retromandibular vein
RID1079	4015526	vertebral vein
RID1092	4015254	sigmoid sinus
RID1093	4013981	inferior petrosal sinus
RID1094	4013591	cavernous sinus
RID1095	4015335	superior ophthalmic vein
RID1117	4013977	inferior ophthalmic vein
RID1119	4015266	sphenoparietal sinus
RID1121	4015338	superior petrosal sinus
RID1122	4015464	transverse sinus
RID1124	4015311	superficial middle cerebral vein
RID1126	4014634	occipital sinus
RID1127	4015344	superior sagittal sinus
RID1129	4015285	straight sinus
RID1131	4013985	inferior sagittal sinus
RID1132	4013906	great cerebral vein
RID114	4015284	stomach
RID1142	4014007	internal cerebral vein
RID115	4013878	gastric cardia
RID1152	4013538	basal vein
RID116	4013879	gastric fundus
RID1161	4014829	radial vein
RID1169	4013536	azygos vein
RID1176	4013527	ascending lumbar vein
RID1178	4013988	inferior vena cava
RID1179	4013931	hepatic vein
RID1184	4014841	renal vein
RID1185	4014092	left adrenal vein
RID1192	4014467	lumbar vein
RID1193	4013638	common iliac vein
RID1193_RID5824	4015553	left common iliac vein
RID1193_RID5825	4015554	right common iliac vein
RID1194	4014009	internal iliac vein
RID1195	4013808	external iliac vein
RID1197	4013909	greater saphenous vein
RID1199	4013821	femoral vein
RID11999	4014638	olfactory nerve
RID12003	4014649	optic nerve
RID1201	4014741	popliteal vein
RID12015	4014636	oculomotor nerve
RID1202	4014436	lesser saphenous vein
RID12021	4015477	trochlear nerve
RID12024	4015471	trigeminal nerve
RID12030	4014642	ophthalmic nerve
RID1205	4013498	anterior tibial vein
RID12053	4014496	maxillary nerve
RID1206	4014715	peroneal vein
RID1207	4014776	posterior tibial vein
RID1208	4014742	portal vein
RID12082	4014486	mandibular nerve
RID1209	4015274	splenic vein
RID1211	4013972	inferior mesenteric vein
RID12116	4013423	abducens nerve
RID12119	4013816	facial nerve
RID1212	4015331	superior mesenteric vein
RID12151	4015531	vestibulocochlear nerve
RID12154	4015529	vestibular nerve
RID1216	4013654	coronary sinus
RID12165	4013628	cochlear nerve
RID12167	4013900	glossopharyngeal nerve
RID12187	4015516	vagus nerve
RID122	4014819	pylorus
RID12203	4014838	recurrent laryngeal nerve
RID12221	4013433	accessory nerve
RID12230	4013943	hypoglossal nerve
RID1231	4014816	pulmonary vein
RID1232	4014904	right common pulmonary vein
RID1238	4014133	left common pulmonary vein
RID1243	4015442	thorax
RID1246	4015459	tracheobronchial tree
RID1247	4015458	trachea
RID1248	4013587	carina
RID1250	4015017	right main bronchus
RID1258	4014001	interlobar bronchus
RID1275	4014246	left main bronchus
RID1275	4015017	right main bronchus
RID1301	4014472	lung
RID1302	4015016	right lung
RID1303	4015504	upper lobe of right lung
RID13086	4013990	inferior vesical artery
RID13087	4015349	superior vesical artery
RID13091	4013964	inferior epigastric artery
RID1310	4014565	middle lobe of lung
RID1315	4014462	lower lobe of right lung
RID13183	4013514	arterial system
RID132	4015260	small intestine
RID13209	4014595	musculoskeletal system
RID13211	4014724	pharynx
RID1326	4014245	left lung
RID1327	4015503	upper lobe of left lung
RID13284	4013814	face
RID13303	4014561	middle ear
RID13315	4013997	inguinal ligament
RID13324	4014543	metatarsal of fifth toe
RID1333	4014449	lingula
RID13338	4015381	tendon of extensor digitorum to index finger
RID13340	4015384	tendon of extensor digitorum to ring finger
RID13374	4014078	latissimus dorsi muscle
RID1338	4014461	lower lobe of left lung
RID134	4013758	duodenum
RID13485	4015367	tectal plate
RID13495	4015176	right thalamus
RID13496	4014405	left thalamus
RID13522	4013659	cortex of insula
RID13523	4013661	cortex of left insula
RID13524	4013663	cortex of right insula
RID1362	4014735	pleura
RID137	4015217	second part of duodenum
RID13788	4015006	right lateral ventricle
RID13789	4014235	left lateral ventricle
RID13798	4013873	frontal horn of right lateral ventricle
RID13799	4013872	frontal horn of left lateral ventricle
RID13800	4014632	occipital horn of right lateral ventricle
RID13801	4014631	occipital horn of left lateral ventricle
RID13802	4015373	temporal horn of right lateral ventricle
RID13803	4015372	temporal horn of left lateral ventricle
RID13806	4013554	body of right lateral ventricle
RID13807	4013551	body of left lateral ventricle
RID1384	4014531	mediastinum
RID1385	4013928	heart
RID13857	4013608	cerebral hemisphere
RID13858	4014894	right cerebral hemisphere
RID13859	4014124	left cerebral hemisphere
RID13862	4014955	right frontal lobe
RID13863	4014184	left frontal lobe
RID13864	4015168	right temporal lobe
RID13865	4014397	left temporal lobe
RID13866	4015075	right parietal lobe
RID13867	4014304	left parietal lobe
RID13868	4015055	right occipital lobe
RID13869	4014284	left occipital lobe
RID1387	4014877	right atrium
RID1389	4015197	right ventricle
RID1390	4014107	left atrium
RID1392	4014426	left ventricle
RID1394	4013502	aortic valve
RID1395	4014579	mitral valve
RID1396	4014817	pulmonic valve
RID13960	4013708	dentate gyrus of right hippocampus
RID13961	4013707	dentate gyrus of left hippocampus
RID1397	4015470	tricuspid valve
RID1400	4014684	papillary muscle
RID1401	4013615	chordae tendineae
RID1404	4014017	interventricular septum
RID1407	4014708	pericardium
RID14119	4015158	right superior colliculus
RID14120	4014387	left superior colliculus
RID14121	4014981	right inferior colliculus
RID14122	4014210	left inferior colliculus
RID14141	4015138	right side of medulla oblongata
RID14142	4014367	left side of medulla oblongata
RID14175	4015061	right ophthalmic nerve
RID14176	4014290	left ophthalmic nerve
RID14184	4015034	right maxillary nerve
RID14185	4014263	left maxillary nerve
RID14291	4015025	right mandibular nerve
RID14292	4014254	left mandibular nerve
RID1430	4015443	thymus
RID144	4015433	third part of duodenum
RID146	4013864	fourth part of duodenum
RID14603	4015199	right vestibular nerve
RID14604	4014428	left vestibular nerve
RID14618	4014899	right cochlear nerve
RID14619	4014129	left cochlear nerve
RID1465	4015508	upper paratracheal lymph node
RID1467	4015193	right upper paratracheal lymph node
RID1469	4014422	left upper paratracheal lymph node
RID147	4014446	ligament of Treitz
RID14756	4015121	right recurrent laryngeal nerve
RID14757	4014350	left recurrent laryngeal nerve
RID1477	4013503	aortopulmonary lymph node
RID148	4014025	jejunum
RID1482	4015300	subcarinal lymph node
RID1484	4013772	esophageal lymph node
RID1486	4015074	right paraesophageal lymph node
RID1488	4014303	left paraesophageal lymph node
RID1490	4013983	inferior pulmonary ligament lymph node
RID1492	4014985	right inferior pulmonary ligament lymph node
RID1494	4014214	left inferior pulmonary ligament lymph node
RID1497	4013567	bronchopulmonary lymph node
RID1499	4014888	right bronchopulmonary lymph node
RID150	4013950	ileum
RID1501	4014118	left bronchopulmonary lymph node
RID151	4015423	terminal ileum
RID1516	4015351	supraclavicular lymph node
RID1517	4013532	axillary lymph node
RID152	4014040	large intestine
RID1521	4014707	pericardial lymph node
RID1522	4015322	superior diaphragmatic lymph node
RID1523	4014843	retrocrural lymph node
RID1524	4013714	diaphragm
RID1525	4014197	left hemidiaphragm
RID1526	4014968	right hemidiaphragm
RID1529	4013670	crus of diaphragm
RID153	4013947	ileocecal valve
RID15362	4015179	right tibial nerve
RID15363	4014408	left tibial nerve
RID15368	4015166	right sural nerve
RID15369	4014395	left sural nerve
RID154	4013593	cecum
RID15522	4015538	zone of adenohypophysis
RID15527	4015539	zone of neurohypophysis
RID15635	4015146	right subcallosal area
RID15636	4014375	left subcallosal area
RID157	4013526	ascending colon
RID15700	4014127	left claustrum
RID15701	4014897	right claustrum
RID158	4013930	hepatic flexure of colon
RID15800	4014141	left deep peroneal nerve
RID15801	4014912	right deep peroneal nerve
RID15807	4014382	left superficial peroneal nerve
RID15808	4015153	right superficial peroneal nerve
RID159	4015462	transverse colon
RID160	4015273	splenic flexure of colon
RID161	4013712	descending colon
RID162	4015253	sigmoid colon
RID16276	4015239	set of intercostal nerves
RID16278	4015235	set of cranial nerve branches
RID16280	4015231	set of autonomic nerves
RID163	4014831	rectum
RID164	4013414	anus
RID168	4013505	appendix
RID170	4014678	pancreas
RID17020	4014989	right internal capsule
RID17021	4014218	left internal capsule
RID17023	4013484	anterior limb of right internal capsule
RID17024	4013483	anterior limb of left internal capsule
RID17025	4013892	genu of internal capsule
RID17026	4013894	genu of right internal capsule
RID17027	4013893	genu of left internal capsule
RID17028	4014763	posterior limb of internal capsule
RID17029	4014765	posterior limb of right internal capsule
RID17030	4014764	posterior limb of left internal capsule
RID17040	4014933	right external capsule
RID17041	4014162	left external capsule
RID171	4013923	head of pancreas
RID172	4015497	uncinate process of pancreas
RID173	4014608	neck of pancreas
RID175	4015364	tail of pancreas
RID17564	4014288	left olfactory tract
RID17565	4015059	right olfactory tract
RID176	4014680	pancreatic duct
RID17608	4013434	accessory nerve tract
RID17609	4014856	right accessory nerve tract
RID17610	4014085	left accessory nerve tract
RID177	4014479	main pancreatic duct
RID17726	4015460	tract of spinal cord
RID18077	4015156	right superior cerebellar peduncle
RID18078	4014385	left superior cerebellar peduncle
RID18079	4015047	right middle cerebellar peduncle
RID18080	4014276	left middle cerebellar peduncle
RID18081	4014979	right inferior cerebellar peduncle
RID18082	4014208	left inferior cerebellar peduncle
RID18106	4014954	right fornix of forebrain
RID18107	4014183	left fornix of forebrain
RID18118	4014893	right cerebral crus
RID18119	4014123	left cerebral crus
RID182	4013435	accessory pancreatic duct
RID1850	4015499	upper extremity
RID1854	4013624	clavicle
RID1860	4015211	scapula
RID1862	4013441	acromion
RID1863	4013648	coracoid process
RID187	4013877	gallbladder
RID1884	4015279	sternoclavicular joint
RID1892	4013666	costoclavicular ligament
RID1895	4013440	acromioclavicular joint
RID1901	4013647	coracoclavicular ligament
RID1905	4013895	glenohumeral joint
RID1909	4013897	glenoid labrum
RID1915	4013645	coracoacromial ligament
RID1916	4013896	glenohumeral ligament
RID1917	4013966	inferior glenohumeral ligament
RID19173	4015440	thoracic sympathetic trunk
RID19174	4015177	right thoracic sympathetic trunk
RID19175	4014406	left thoracic sympathetic trunk
RID1921	4014563	middle glenohumeral ligament
RID1922	4015325	superior glenohumeral ligament
RID193	4014200	left hepatic duct
RID1936	4013705	deltoid muscle
RID1937	4015467	trapezius muscle
RID1939	4013992	infraspinatus muscle
RID194	4014971	right hepatic duct
RID1940	4015304	subscapularis muscle
RID1941	4015354	supraspinatus muscle
RID1942	4015421	teres minor muscle
RID1944	4015402	tendon of long head of biceps brachii
RID1945	4015416	tendon of short head of biceps brachii
RID1949	4013993	infraspinatus tendon
RID1951	4015305	subscapularis tendon
RID1953	4015355	supraspinatus tendon
RID1955	4015422	teres minor tendon
RID1968	4013513	arm
RID1971	4013940	humerus
RID1972	4013452	anatomical neck of humerus
RID1973	4013913	greater tuberosity of humerus
RID1978	4014440	lesser tuberosity of humerus
RID1984	4014056	lateral epicondyle of humerus
RID1985	4014510	medial epicondyle of humerus
RID1987	4013584	capitellum of humerus
RID199	4013630	common bile duct
RID1990	4015473	trochlea of humerus
RID1996	4013542	biceps brachii muscle
RID1999	4015469	triceps brachii muscle
RID200	4013635	common hepatic duct
RID2004	4013646	coracobrachialis muscle
RID2005	4013560	brachialis muscle
RID201	4013675	cystic duct
RID2010	4013763	elbow
RID2011	4013764	elbow joint
RID2035	4015485	ulnar collateral ligament of elbow
RID204	4015511	urinary tract
RID2044	4014826	radial collateral ligament of elbow
RID2048	4013456	annular ligament of radius
RID205	4014027	kidney
RID20560	4015039	right medial geniculate body
RID20561	4014268	left medial geniculate body
RID20562	4015000	right lateral geniculate body
RID20563	4014229	left lateral geniculate body
RID2068	4013632	common extensor tendon
RID2086	4013545	bicipitoradial bursa
RID20917	4015007	right lentiform nucleus
RID20918	4014236	left lentiform nucleus
RID21014	4015109	right putamen
RID21015	4014338	left putamen
RID21016	4013899	globus pallidus
RID21017	4014963	right globus pallidus
RID21018	4014192	left globus pallidus
RID21019	4014891	right caudate nucleus
RID21020	4014121	left caudate nucleus
RID2107	4013858	forearm
RID2109	4014830	radius
RID211	4013660	cortex of kidney
RID2113	4015290	styloid process of radius
RID2119	4015483	ulna
RID2125	4013656	coronoid process of ulna
RID2132	4015294	styloid process of ulna
RID2135	4013751	dorsal compartment of forearm
RID2137	4015533	volar compartment of forearm
RID2142	4013563	brachioradialis muscle
RID2144	4013780	extensor carpi radialis brevis muscle
RID2145	4013782	extensor carpi radialis longus muscle
RID2146	4013784	extensor carpi ulnaris muscle
RID2148	4013786	extensor digiti minimi muscle
RID2149	4013453	anconeus muscle
RID2151	4015350	supinator muscle
RID2154	4013430	abductor pollicis longus muscle
RID2155	4013796	extensor pollicis brevis muscle
RID2156	4013798	extensor pollicis longus muscle
RID2157	4013794	extensor indicis muscle
RID2160	4014785	pronator teres muscle
RID2161	4013836	flexor carpi radialis muscle
RID2162	4014675	palmaris longus muscle
RID2163	4013838	flexor carpi ulnaris muscle
RID2164	4013846	flexor digitorum superficialis muscle
RID2168	4013845	flexor digitorum profundus muscle
RID2169	4013851	flexor pollicis longus muscle
RID2171	4014784	pronator quadratus muscle
RID2177	4015536	wrist
RID2181	4015209	scaphoid
RID2187	4014471	lunate
RID2189	4015472	triquetrum
RID2191	4014728	pisiform
RID2193	4015466	trapezium
RID21931	4013457	ansa cervicalis
RID21932	4014865	right ansa cervicalis
RID21933	4014094	left ansa cervicalis
RID2195	4015468	trapezoid
RID2197	4013583	capitate
RID2198	4013914	hamate
RID2200	4013938	hook of hamate
RID2202	4015537	wrist joint
RID2203	4013750	distal radioulnar joint
RID2229	4013757	dorsal radioulnar ligament
RID2230	4015534	volar radioulnar ligament
RID2235	4015488	ulnar collateral ligament of wrist
RID2247	4013586	capitolunate joint
RID2249	4013585	capitohamate joint
RID225	4013581	calyx of renal collecting system
RID2257	4014827	radial collateral ligament of wrist
RID2259	4015210	scapholunate ligament
RID2267	4014729	pisohamate ligament
RID22694	4015063	right optic nerve
RID22695	4014292	left optic nerve
RID22696	4014651	optic tract
RID22697	4015064	right optic tract
RID22698	4014293	left optic tract
RID228	4014840	renal pelvis
RID2281	4013756	dorsal radiocarpal ligament
RID2287	4014672	palmar ligament
RID229	4015509	ureter
RID23087	4015008	right lesser occipital nerve
RID23088	4014237	left lesser occipital nerve
RID2309	4013800	extensor retinaculum
RID2313	4013853	flexor retinaculum
RID2318	4013915	hand
RID2320	4014537	metacarpal bone
RID2332_RID2392	4014539	metacarpophalangeal joint of first finger
RID2332_RID2394	4014541	metacarpophalangeal joint of second finger
RID2332_RID2396	4014542	metacarpophalangeal joint of third finger
RID2332_RID2398	4014540	metacarpophalangeal joint of fourth finger
RID2332_RID2400	4014538	metacarpophalangeal joint of fifth finger
RID2346	4013429	abductor pollicis brevis muscle
RID2347	4014646	opponens pollicis muscle
RID2348	4013850	flexor pollicis brevis muscle
RID2351	4013446	adductor pollicis muscle
RID2356	4014674	palmaris brevis muscle
RID2358	4013425	abductor digiti minimi muscle of hand
RID2359	4013839	flexor digiti minimi brevis muscle of hand
RID2360	4014643	opponens digiti minimi muscle of hand
RID2362	4014671	palmar interosseous muscle of hand
RID2364	4014470	lumbrical muscle of hand
RID237	4013547	bladder
RID2374	4013431	abductor pollicis longus tendon
RID2375	4013797	extensor pollicis brevis tendon
RID2376	4013783	extensor carpi radialis longus tendon
RID2377	4013781	extensor carpi radialis brevis tendon
RID2378	4013799	extensor pollicis longus tendon
RID2381	4013787	extensor digiti minimi tendon
RID2382	4013785	extensor carpi ulnaris tendon
RID2383	4013852	flexor pollicis longus tendon
RID2390	4014676	palmaris longus tendon
RID2404_RID2392	4014798	proximal phalanx of first finger
RID2404_RID2394	4014802	proximal phalanx of second finger
RID2404_RID2396	4014804	proximal phalanx of third finger
RID2404_RID2398	4014799	proximal phalanx of fourth finger
RID2404_RID2400	4014796	proximal phalanx of fifth finger
RID2405_RID2394	4014572	middle phalanx of second finger
RID2405_RID2396	4014574	middle phalanx of third finger
RID2405_RID2398	4014570	middle phalanx of fourth finger
RID2405_RID2400	4014568	middle phalanx of fifth finger
RID2406_RID2392	4013742	distal phalanx of first finger
RID2406_RID2394	4013746	distal phalanx of second finger
RID2406_RID2396	4013748	distal phalanx of third finger
RID2406_RID2398	4013743	distal phalanx of fourth finger
RID2406_RID2400	4013740	distal phalanx of fifth finger
RID2408_RID2394	4014792	proximal interphalangeal joint of second finger
RID2408_RID2396	4014794	proximal interphalangeal joint of third finger
RID2408_RID2398	4014790	proximal interphalangeal joint of fourth finger
RID2408_RID2400	4014788	proximal interphalangeal joint of fifth finger
RID2418_RID2394	4013735	distal interphalangeal joint of second finger
RID2418_RID2396	4013737	distal interphalangeal joint of third finger
RID2418_RID2398	4013733	distal interphalangeal joint of fourth finger
RID2418_RID2400	4013731	distal interphalangeal joint of fifth finger
RID2429	4013795	extensor indicis tendon
RID2468	4013613	chest wall
RID2473	4015283	sternum
RID2476	4014488	manubrium
RID2485	4013996	inguinal canal
RID2493	4014700	pectoralis major muscle
RID2496	4014701	pectoralis minor muscle
RID2500	4014849	rhomboideus major muscle
RID2501	4014850	rhomboideus minor muscle
RID2502	4015229	serratus anterior muscle
RID2504	4015420	teres major muscle
RID2507	4013403	pelvis
RID2509	4015204	sacrum
RID2524	4013626	coccyx
RID2531	4013956	ilium
RID2545	4014023	ischium
RID2553	4014812	pubis
RID25606	4015054	right obturator nerve
RID25607	4014283	left obturator nerve
RID2564	4013438	acetabulum
RID2567	4013437	acetabular notch
RID25678	4015161	right superior gluteal nerve
RID25679	4014390	left superior gluteal nerve
RID25680	4014983	right inferior gluteal nerve
RID25681	4014212	left inferior gluteal nerve
RID25684	4015130	right sciatic nerve
RID25685	4014359	left sciatic nerve
RID2594	4015363	symphysis pubis
RID2625	4014806	psoas major muscle
RID2626	4014807	psoas minor muscle
RID2629	4013901	gluteus maximus muscle
RID2630	4013902	gluteus medius muscle
RID2631	4013903	gluteus minimus muscle
RID2632	4014727	piriformis muscle
RID2636	4014625	obturator externus muscle
RID2638	4014457	lower extremity
RID2639	4013935	hip
RID2640	4013936	hip joint
RID2644	4013436	acetabular labrum
RID2650	4013952	iliofemoral ligament
RID2651	4014022	ischiofemoral ligament
RID2652	4014813	pubofemoral ligament
RID26562	4014896	right cingulate gyrus
RID26563	4014126	left cingulate gyrus
RID26566	4014972	right hippocampus
RID26567	4014201	left hippocampus
RID2660	4015429	thigh
RID2662	4013822	femur
RID2664	4013918	head of femur
RID2668	4013820	femoral neck
RID2671	4013910	greater trochanter of femur
RID26715	4015221	segment of medial geniculate body
RID2673	4014437	lesser trochanter of femur
RID26776	4015019	right mammillary body
RID26777	4014248	left mammillary body
RID2682	4014055	lateral epicondyle of femur
RID2683	4014509	medial epicondyle of femur
RID2686	4014047	lateral condyle of femur
RID2688	4014502	medial condyle of femur
RID2691	4013474	anterior compartment of thigh
RID2692	4014501	medial compartment of thigh
RID2696	4015207	sartorius muscle
RID2698	4014837	rectus femoris muscle
RID2699	4015519	vastus lateralis muscle
RID270	4013405	female genital system
RID2700	4015520	vastus medialis muscle
RID2702	4015518	vastus intermedius muscle
RID2703	4015417	tensor fascia lata muscle
RID2707	4014699	pectineus muscle
RID2708	4013444	adductor longus muscle
RID2709	4013904	gracilis muscle
RID2710	4013442	adductor brevis muscle
RID2711	4013445	adductor magnus muscle
RID2714	4013543	biceps femoris muscle
RID2717	4015227	semitendinosus muscle
RID2718	4015223	semimembranosus muscle
RID2723	4013955	iliotibial band
RID2743	4014028	knee
RID2745	4013813	fabella
RID2746	4014697	patella
RID2751	4014029	knee joint
RID2763	4014064	lateral meniscus
RID27686	4015056	right oculomotor nerve
RID27687	4014285	left oculomotor nerve
RID27688	4015187	right trochlear nerve
